feature,coefficient,abs_coefficient
MonthlyCharges,-0.8929776471569688,0.8929776471569688
LongTermContract,-0.820164465562923,0.820164465562923
InternetService_Fiber optic,0.7618510678030382,0.7618510678030382
InternetService_No,-0.5180976272121633,0.5180976272121633
tenure,-0.4787105245506564,0.4787105245506564
ChargesTenureRatio,0.3738667560931926,0.3738667560931926
Contract_One year,0.35805702519092103,0.35805702519092103
MultipleLines_Yes,0.26292512300858256,0.26292512300858256
StreamingMovies_Yes,0.26257741085100594,0.26257741085100594
StreamingTV_Yes,0.25618926617049054,0.25618926617049054
PaperlessBilling,0.18471195714273433,0.18471195714273433
PaymentMethod_Electronic check,0.15931006611496043,0.15931006611496043
OnlineSecurity_Yes,-0.12360990324643906,0.12360990324643906
Dependents,-0.10550678649309755,0.10550678649309755
TechSupport_Yes,-0.09649509322365273,0.09649509322365273
ServicePenetration,0.08881028972239159,0.08881028972239159
DeviceProtection_Yes,0.05718111992873288,0.05718111992873288
SeniorCitizen,0.05599884103604197,0.05599884103604197
Partner,0.025436348051866477,0.025436348051866477
MultipleLines_No phone service,0.022655146492280884,0.022655146492280884
PaymentMethod_Mailed check,0.022292794979433324,0.022292794979433324
OnlineBackup_Yes,-0.019545920051624623,0.019545920051624623
PaymentMethod_Credit card (automatic),-0.013901028482193177,0.013901028482193177
gender_Male,0.013581151179570728,0.013581151179570728
